positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short,possible_reason
25,0.20353309810161588,"Cần phải làm gì đối với những thông tin, tài liệu được lưu trữ và soạn thảo?","Triển khai hoạt động bảo vệ an ninh mạng trong cơ quan nhà nước, tổ chức chính trị ở trung ương và địa phương 1. Nội dung triển khai hoạt động bảo vệ an ninh mạng bao gồm: a) Xây dựng, hoàn thiện quy định, quy chế sử dụng mạng máy tính nội bộ, mạng máy tính có kết nối mạng Internet; phương án bảo đảm an ninh mạng đối với hệ thống thông tin; phương ","Theo Khoản 1 Điều 29 của Luật Lưu trữ, cơ quan, tổ chức, cá nhân có quyền sử dụng tài liệu lưu trữ để phục vụ công tác, nghiên cứu khoa học, lịch sử và các nhu cầu chính đáng khác.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
24,0.2424389123916626,Người chưa thành niên được bảo vệ quyền lợi gì?,"Điều 141 của Bộ luật Lao động 2019 quy định về lao động là người cao tuổi. Người cao tuổi có quyền làm việc và được bảo vệ quyền lợi hợp pháp khi làm việc. Người sử dụng lao động có trách nhiệm đảm bảo điều kiện làm việc an toàn, phù hợp với sức khỏe của người cao tuổi. Điều 142 quy định về lao động là người chưa thành niên. Người chưa thành niên đ","Điều 1 của Luật quy định thủ tục tố tụng đối với người chưa thành niên bao gồm người bị tố giác, người bị kiến nghị khởi tố, người bị giữ trong trường hợp khẩn cấp, người bị buộc tội, bị hại và người làm chứng. Việc quy định phạm vi rộng như vậy cho thấy Luật này có cách tiếp cận toàn diện, không chỉ tập trung vào người chưa thành niên là người phạ","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
18,0.3041429519653321,"Tôi nhận thừa kế một tài sản từ ông bà mà không có di chúc, thì tôi có phải chứng minh quyền chiếm hữu ngay tình của mình không?",Điều 180. Chiếm hữu ngay tình Chiếm hữu ngay tình là việc chiếm hữu mà người chiếm hữu có căn cứ để tin rằng mình có quyền đối với tài sản đang chiếm hữu.,Điều 609. Quyền thừa kế Cá nhân có quyền lập di chúc để định đoạt tài sản của mình; để lại tài sản của mình cho người thừa kế theo pháp luật; hưởng di sản theo di chúc hoặc theo pháp luật. Người thừa kế không là cá nhân có quyền hưởng di sản theo di chúc.,"Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
12,0.09041157364845281,Nhà thầu vừa tham dự thầu gói thầu mua sắm hàng hóa vừa là nhà thầu cung cấp dịch vụ tư vấn có được không?,"Tại khoản 6 Điều 89 Luật Đấu thầu 2013 có quy định về các hành vi bị cấm trong đấu thầu như sau: Các hành vi bị cấm trong đấu thầu .... 6. Không bảo đảm công bằng, minh bạch, bao gồm các hành vi sau đây: a) Tham dự thầu với tư cách là nhà thầu, nhà đầu tư đối với gói thầu, dự án do mình làm bên mời thầu, chủ đầu tư hoặc thực hiện các nhiệm vụ của b","Đơn vị tôi tham gia đấu thầu gói thầu xây dựng nhà trong đó có hạng mục phòng, chống mối, hồ sơ mời thầu có cho phép sử dụng nhà thầu phụ. Đơn vị tôi không có chức năng thi công phòng, chống mối thì có được sử dụng cơ quan có chức năng phòng, chống mối để làm nhà thầu phụ không hay phải liên danh?Bộ Kế hoạch và Đầu tư trả lời vấn đề này như sau:Kho","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
10,0.2047308385372162,"Tôi ký hợp đồng mua bán đất với một công ty nhưng sau đó tôi phát hiện đất đó thuộc diện tranh chấp, vậy hợp đồng của tôi có vô hiệu không?","Điều 123. Giao dịch dân sự vô hiệu do vi phạm điều cấm của luật, trái đạo đức xã hội Giao dịch dân sự có mục đích, nội dung vi phạm điều cấm của luật, trái đạo đức xã hội thì vô hiệu. Điều cấm của luật là những quy định của luật không cho phép chủ thể thực hiện những hành vi nhất định. Đạo đức xã hội là những chuẩn mực ứng xử chung trong đời sống x","Điều 122. Giao dịch dân sự vô hiệu Giao dịch dân sự không có một trong các điều kiện được quy định tại Điều 117 của Bộ luật này thì vô hiệu, trừ trường hợp Bộ luật này có quy định khác.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.22510081529617315,Vợ tôi làm việc cho một công ty và thường xuyên phải làm việc thêm giờ mà không được trả lương phù hợp. Tôi không biết liệu công ty đó có vi phạm quyền lợi của cô ấy về thời giờ làm việc không?,"Điều 136. Trách nhiệm của người sử dụng lao động 1. Bảo đảm thực hiện bình đẳng giới và các biện pháp thúc đẩy bình đẳng giới trong tuyển dụng, bố trí, sắp xếp việc làm, đào tạo, thời giờ làm việc, thời giờ nghỉ ngơi, tiền lương và các chế độ khác. 2. Tham khảo ý kiến của lao động nữ hoặc đại diện của họ khi quyết định những vấn đề liên quan đến qu",Điều 105. Thời giờ làm việc bình thường 1. Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 2. Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ng,"Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
8,0.22163993120193481,Tôi đã ly hôn với vợ và chúng tôi có một số tài sản chung. Làm thế nào để chúng tôi phân chia tài sản này theo thỏa thuận trước đây?,"Điều 48. Nội dung cơ bản của thỏa thuận về chế độ tài sản của vợ chồng 1. Nội dung cơ bản của thỏa thuận về chế độ tài sản bao gồm: a) Tài sản được xác định là tài sản chung, tài sản riêng của vợ, chồng; b) Quyền, nghĩa vụ của vợ chồng đối với tài sản chung, tài sản riêng và giao dịch có liên quan; tài sản để bảo đảm nhu cầu thiết yếu của gia đình;","Điều 59. Nguyên tắc giải quyết tài sản của vợ chồng khi ly hôn 1. Trong trường hợp chế độ tài sản của vợ chồng theo luật định thì việc giải quyết tài sản do các bên thỏa thuận; nếu không thỏa thuận được thì theo yêu cầu của vợ, chồng hoặc của hai vợ chồng, Tòa án giải quyết theo quy định tại các khoản 2, 3, 4 và 5 Điều này và tại các điều 60, 61, 6","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
7,0.08012682199478155,"Tôi và ba người bạn đã cùng nhau góp vốn để mở một quán cà phê, nhưng một người trong số đó muốn rút lui. Vậy tôi cần làm gì để chia tài sản chung trong trường hợp này?",Điều 207. Sở hữu chung và các loại sở hữu chung 1. Sở hữu chung là sở hữu của nhiều chủ thể đối với tài sản. 2. Sở hữu chung bao gồm sở hữu chung theo phần và sở hữu chung hợp nhất.,"Điều 215. Sở hữu chung hỗn hợp 1. Sở hữu chung hỗn hợp là sở hữu đối với tài sản do các chủ sở hữu thuộc các thành phần kinh tế khác nhau góp vốn để sản xuất, kinh doanh thu lợi nhuận. 2. Tài sản được hình thành từ nguồn vốn góp của các chủ sở hữu, lợi nhuận hợp pháp thu được từ hoạt động sản xuất, kinh doanh hoặc từ nguồn khác phù hợp với quy định","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
5,0.1346248090267182,"Tôi ký hợp đồng thuê nhà với người không có quyền sở hữu hợp pháp, hợp đồng này có giá trị pháp lý không?","Điều 123. Giao dịch dân sự vô hiệu do vi phạm điều cấm của luật, trái đạo đức xã hội Giao dịch dân sự có mục đích, nội dung vi phạm điều cấm của luật, trái đạo đức xã hội thì vô hiệu. Điều cấm của luật là những quy định của luật không cho phép chủ thể thực hiện những hành vi nhất định. Đạo đức xã hội là những chuẩn mực ứng xử chung trong đời sống x","Điều 223. Xác lập quyền sở hữu theo hợp đồng Người được giao tài sản thông qua hợp đồng mua bán, tặng cho, trao đổi, cho vay hoặc hợp đồng chuyển quyền sở hữu khác theo quy định của pháp luật thì có quyền sở hữu tài sản đó.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
5,0.10500311851501465,Nhà thầu không đảm bảo cạnh tranh trong đấu thầu có được tham gia đấu thầu không?,"Căn cứ Điều 5 Luật Đấu thầu 2023 có quy định về tư cách hợp lệ của nhà thầu, nhà đầu tư như sau: Tư cách hợp lệ của nhà thầu, nhà đầu tư 1. Nhà thầu, nhà đầu tư là tổ chức có tư cách hợp lệ khi đáp ứng đủ các điều kiện sau đây: a) Đối với nhà thầu, nhà đầu tư trong nước: là doanh nghiệp, hợp tác xã, liên hiệp hợp tác xã, tổ hợp tác, đơn vị sự nghiệ","Tại khoản 6 Điều 89 Luật Đấu thầu 2013 có quy định về các hành vi bị cấm trong đấu thầu như sau: Các hành vi bị cấm trong đấu thầu .... 6. Không bảo đảm công bằng, minh bạch, bao gồm các hành vi sau đây: a) Tham dự thầu với tư cách là nhà thầu, nhà đầu tư đối với gói thầu, dự án do mình làm bên mời thầu, chủ đầu tư hoặc thực hiện các nhiệm vụ của b","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
