positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short,possible_reason
26,0.2456523776054383,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Người chưa thành niên được bảo vệ quyền lợi gì?","Điều 141 của Bộ luật Lao động 2019 quy định về lao động là người cao tuổi. Người cao tuổi có quyền làm việc và được bảo vệ quyền lợi hợp pháp khi làm việc. Người sử dụng lao động có trách nhiệm đảm bảo điều kiện làm việc an toàn, phù hợp với sức khỏe của người cao tuổi. Điều 142 quy định về lao động là người chưa thành niên. Người chưa thành niên đ","Việc Điều 9 quy định ""Người chưa thành niên được bảo đảm có người đại diện tham gia trong quá trình giải quyết vụ việc, vụ án"" có ý nghĩa quan trọng trong việc bảo vệ quyền và lợi ích hợp pháp của người chưa thành niên. Người chưa thành niên thường chưa có đầy đủ năng lực nhận thức và hành vi để tự bảo vệ mình trước pháp luật. Việc có người đại diệ","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
26,0.23859652876853937,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Cần phải làm gì đối với những thông tin, tài liệu được lưu trữ và soạn thảo?","Triển khai hoạt động bảo vệ an ninh mạng trong cơ quan nhà nước, tổ chức chính trị ở trung ương và địa phương 1. Nội dung triển khai hoạt động bảo vệ an ninh mạng bao gồm: a) Xây dựng, hoàn thiện quy định, quy chế sử dụng mạng máy tính nội bộ, mạng máy tính có kết nối mạng Internet; phương án bảo đảm an ninh mạng đối với hệ thống thông tin; phương ","Theo Khoản 1 Điều 13 của Luật Lưu trữ, tài liệu lưu trữ điện tử là tài liệu được tạo lập ở dạng thông điệp dữ liệu hình thành trong quá trình hoạt động của cơ quan, tổ chức, cá nhân được lựa chọn để lưu trữ hoặc được số hóa từ tài liệu lưu trữ trên các vật mang tin khác.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
20,0.20558816194534307,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Gia đình tôi đã nộp đơn khiếu nại về một quyết định hành chính từ năm 2019. Vậy thời hiệu để gia đình tôi theo đuổi khiếu nại này còn hiệu lực không?",Điều 151. Cách tính thời hiệu Thời hiệu được tính từ thời điểm bắt đầu ngày đầu tiên của thời hiệu và chấm dứt tại thời điểm kết thúc ngày cuối cùng của thời hiệu.,"Chương VI của Luật Thi hành án dân sự quy định rõ về thời hiệu khiếu nại đối với quyết định, hành vi của Thủ trưởng cơ quan thi hành án dân sự, Chấp hành viên. Các nguyên tắc và sự khác biệt cụ thể như sau: 1. **Nguyên tắc chung**: Thời hiệu khiếu nại được tính từ ngày đương sự nhận được quyết định hoặc biết được hành vi bị khiếu nại, với các mốc t","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
15,0.13372507691383367,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Gia đình tôi đang muốn khai thác một nguồn tài nguyên khoáng sản nhỏ trên đất của mình, liệu chúng tôi có cần xin phép không?","Điều 197. Tài sản thuộc sở hữu toàn dân Đất đai, tài nguyên nước, tài nguyên khoáng sản, nguồn lợi ở vùng biển, vùng trời, tài nguyên thiên nhiên khác và các tài sản do Nhà nước đầu tư, quản lý là tài sản công thuộc sở hữu toàn dân do Nhà nước đại diện chủ sở hữu và thống nhất quản lý.","Theo khoản 1 Điều 55 của Luật Địa chất và Khoáng sản, việc cấp giấy phép khai thác khoáng sản phải bảo đảm các nguyên tắc sau đây: Giấy phép chỉ được cấp ở khu vực không có tổ chức, cá nhân đang thăm dò, khai thác khoáng sản hợp pháp, trừ trường hợp quy định tại điểm e khoản này. Giấy phép do Bộ Tài nguyên và Môi trường cấp ở khu vực phù hợp với qu","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
14,0.13637319207191467,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Tôi có một cửa hàng kinh doanh và muốn thay đổi mặt bằng để phát triển. Có điều gì tôi cần lưu ý không?","Điều 206. Chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng 1. Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng nhằm phục vụ nhu cầu sinh hoạt, tiêu dùng, sản xuất, kinh doanh và các mục đích khác không trái pháp luật. 2. Việc chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng không được gây thiệt hại hoặc l","Theo Điều 136 của Luật Kinh doanh bảo hiểm, doanh nghiệp môi giới bảo hiểm phải tuân thủ các quy định khác nhau đối với các loại thay đổi: 1. Các thay đổi phải được Bộ Tài chính chấp thuận bằng văn bản (khoản 1 Điều 136): Đây là những thay đổi mang tính chất nền tảng, ảnh hưởng sâu rộng đến cơ cấu, quy mô và hoạt động cốt lõi của doanh nghiệp. Các ","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
14,0.125753253698349,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Tôi muốn biết làm thế nào để thực hiện quyền sở hữu đối với tài sản thuộc sở hữu toàn dân, ví dụ như đất đai mà gia đình tôi đang sử dụng nhưng chưa có giấy chứng","Điều 198. Thực hiện quyền của chủ sở hữu đối với tài sản thuộc sở hữu toàn dân 1. Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam là đại diện, thực hiện quyền của chủ sở hữu đối với tài sản thuộc sở hữu toàn dân. 2. Chính phủ thống nhất quản lý và bảo đảm sử dụng đúng mục đích, hiệu quả và tiết kiệm tài sản thuộc sở hữu toàn dân.","Tôi tham khảo Khoản 4, Điều 3 Nghị định số 29/2018/NĐ-CP ngày 5/3/2018 của Chính phủ quy định trình tự, thủ tục xác lập quyền sở hữu toàn dân về tài sản và xử lý đối với tài sản được xác lập quyền sở hữu toàn dân như sau: ""4. Tài sản do tổ chức, cá nhân trong nước và nước ngoài hiến, biếu, tặng cho, đóng góp, viện trợ, tài trợ nhưng chưa hạch toán ","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
13,0.2859553396701813,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Gia đình tôi có một người bị khuyết tật, họ có thể tham gia ký hợp đồng mua bán tài sản không?","Điều 19. Năng lực hành vi dân sự của cá nhân Năng lực hành vi dân sự của cá nhân là khả năng của cá nhân bằng hành vi của mình xác lập, thực hiện quyền, nghĩa vụ dân sự.","Điều 431. Đối tượng của hợp đồng mua bán 1. Tài sản được quy định tại Bộ luật này đều có thể là đối tượng của hợp đồng mua bán. Trường hợp theo quy định của luật, tài sản bị cấm hoặc bị hạn chế chuyển nhượng thì tài sản là đối tượng của hợp đồng mua bán phải phù hợp với các quy định đó. 2. Tài sản bán thuộc sở hữu của người bán hoặc người bán có qu","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
11,0.18119299411773687,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Gia đình tôi đã thỏa thuận với một nhà thầu rằng việc sửa chữa nhà sẽ được thực hiện sau khi có giấy phép xây dựng. Nếu giấy phép bị từ chối nhưng nhà thầu vẫn bắ","Điều 284. Thực hiện nghĩa vụ có điều kiện 1. Trường hợp các bên có thỏa thuận hoặc pháp luật có quy định về điều kiện thực hiện nghĩa vụ thì khi điều kiện phát sinh, bên có nghĩa vụ phải thực hiện. 2. Trường hợp điều kiện không xảy ra hoặc xảy ra do có sự tác động của một bên thì áp dụng quy định tại khoản 2 Điều 120 của Bộ luật này.","Theo Khoản 1 Điều 101 của Luật Xây dựng, giấy phép xây dựng bị thu hồi trong các trường hợp sau: a) Giấy phép xây dựng được cấp không đúng quy định của pháp luật; b) Chủ đầu tư không khắc phục việc xây dựng sai với giấy phép xây dựng trong thời hạn ghi trong văn bản xử lý vi phạm theo yêu cầu của cơ quan nhà nước có thẩm quyền.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
11,0.11483579874038696,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Công ty tôi có một số nhân viên nữ đang mang thai, và tôi không chắc liệu tôi có cần phải tham khảo ý kiến của họ khi quyết định sắp xếp lại công việc cho họ tron","Điều 136. Trách nhiệm của người sử dụng lao động 1. Bảo đảm thực hiện bình đẳng giới và các biện pháp thúc đẩy bình đẳng giới trong tuyển dụng, bố trí, sắp xếp việc làm, đào tạo, thời giờ làm việc, thời giờ nghỉ ngơi, tiền lương và các chế độ khác. 2. Tham khảo ý kiến của lao động nữ hoặc đại diện của họ khi quyết định những vấn đề liên quan đến qu","Điều 137. Bảo vệ thai sản 1. Người sử dụng lao động không được sử dụng người lao động làm việc ban đêm, làm thêm giờ và đi công tác xa trong trường hợp sau đây: a) Mang thai từ tháng thứ 07 hoặc từ tháng thứ 06 nếu làm việc ở vùng cao, vùng sâu, vùng xa, biên giới, hải đảo; b) Đang nuôi con dưới 12 tháng tuổi, trừ trường hợp được người lao động đồn","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
11,0.09427368640899658,"Instruct: Given a legal question, retrieve relevant legal clauses that answer it
Query: Tôi có một mảnh đất mà tôi đã sử dụng từ lâu nhưng không có giấy tờ, vậy tôi có được coi là chủ sở hữu hợp pháp không?","Điều 197. Tài sản thuộc sở hữu toàn dân Đất đai, tài nguyên nước, tài nguyên khoáng sản, nguồn lợi ở vùng biển, vùng trời, tài nguyên thiên nhiên khác và các tài sản do Nhà nước đầu tư, quản lý là tài sản công thuộc sở hữu toàn dân do Nhà nước đại diện chủ sở hữu và thống nhất quản lý.","Điều 228. Xác lập quyền sở hữu đối với tài sản vô chủ, tài sản không xác định được chủ sở hữu 1. Tài sản vô chủ là tài sản mà chủ sở hữu đã từ bỏ quyền sở hữu đối với tài sản đó. Người đã phát hiện, người đang quản lý tài sản vô chủ là động sản thì có quyền sở hữu tài sản đó, trừ trường hợp luật có quy định khác; nếu tài sản là bất động sản thì thu","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
