positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short,possible_reason
23,0.2972819209098816,"Cần phải làm gì đối với những thông tin, tài liệu được lưu trữ và soạn thảo?","Triển khai hoạt động bảo vệ an ninh mạng trong cơ quan nhà nước, tổ chức chính trị ở trung ương và địa phương 1. Nội dung triển khai hoạt động bảo vệ an ninh mạng bao gồm: a) Xây dựng, hoàn thiện quy định, quy chế sử dụng mạng máy tính nội bộ, mạng máy tính có kết nối mạng Internet; phương án bảo đảm an ninh mạng đối với hệ thống thông tin; phương ","Theo Khoản 1 Điều 13 của Luật Lưu trữ, tài liệu lưu trữ điện tử là tài liệu được tạo lập ở dạng thông điệp dữ liệu hình thành trong quá trình hoạt động của cơ quan, tổ chức, cá nhân được lựa chọn để lưu trữ hoặc được số hóa từ tài liệu lưu trữ trên các vật mang tin khác.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
22,0.18579930067062378,Đối tượng phải có và không phải có chứng chỉ hoạt động đấu thầu,"Theo tôi tham khảo Khoản 7, Điều 35 Thông tư số 03/2016/TT-BKHĐT ngày 5/5/2016 của Bộ Kế hoạch và Đầu tư quy định chi tiết đối với hoạt động đào tạo, bồi dưỡng về đấu thầu thì kể từ ngày 1/1/2018, các cá nhân khi tham gia trực tiếp vào việc lập, thẩm định hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu, hồ sơ yêu cầu; đánh giá hồ sơ mời quan","Tại khoản 6 Điều 89 Luật Đấu thầu 2013 có quy định về các hành vi bị cấm trong đấu thầu như sau: Các hành vi bị cấm trong đấu thầu .... 6. Không bảo đảm công bằng, minh bạch, bao gồm các hành vi sau đây: a) Tham dự thầu với tư cách là nhà thầu, nhà đầu tư đối với gói thầu, dự án do mình làm bên mời thầu, chủ đầu tư hoặc thực hiện các nhiệm vụ của b","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
21,0.17889970541000366,Công chứng viên có được đồng thời hành nghề tại hai tổ chức hành nghề công chứng không?,"Căn cứ theo điểm k khoản 1 Điều 7 Luật Công chứng 2014 quy định như sau: Điều 7. Các hành vi bị nghiêm cấm 1. Nghiêm cấm công chứng viên, tổ chức hành nghề công chứng thực hiện các hành vi sau đây: a) Tiết lộ thông tin về nội dung công chứng, trừ trường hợp được người yêu cầu công chứng đồng ý bằng văn bản hoặc pháp luật có quy định khác; sử dụng t","Dựa trên các quy định tại Điều 29 Luật Công chứng, việc thực hiện mong muốn của Công chứng viên X và Công chứng viên Y được phân tích như sau: 1. **Đối với Công chứng viên X:** Công chứng viên X không thể nhận chuyển nhượng Văn phòng công chứng để tiếp quản vị trí Trưởng Văn phòng. * **Lý do:** Theo điểm a khoản 2 Điều 29 Luật Công chứng, công chứn","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
20,0.2681925296783447,Thời gian đóng BHXH đã được tính hưởng BHXH một lần có được tính vào thời gian làm cơ sở tính hưởng các chế độ BHXH khác không?,"Tại Điều 5 Luật Bảo hiểm xã hội 2014 có quy định nguyên tắc bảo hiểm xã hội như sau: Nguyên tắc bảo hiểm xã hội 1. Mức hưởng bảo hiểm xã hội được tính trên cơ sở mức đóng, thời gian đóng bảo hiểm xã hội và có chia sẻ giữa những người tham gia bảo hiểm xã hội. 2. Mức đóng bảo hiểm xã hội bắt buộc được tính trên cơ sở tiền lương tháng của người lao đ","Ngày 7/8/2021, tôi dừng làm việc tại công ty cũ, nhưng do dịch COVID-19 nên tới ngày 29/9/2021 cơ quan BHXH mới chốt sổ BHXH cho tôi. Vậy, nếu tôi muốn rút BHXH một lần thì phải 1 năm sau ngày nghỉ việc hay 1 năm sau ngày chốt sổ BHXH tôi mới được làm thủ tục?Bảo hiểm xã hội Việt Nam trả lời vấn đề này như sau:Về điều kiện hưởng BHXH một lần, tại K","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
19,0.19304019212722778,"Tôi có hàng hóa đang trên đường từ Hà Nội đến Đà Nẵng, nếu có sự cố xảy ra thì ai sẽ chịu trách nhiệm về hàng hóa này?","Điều 678. Quyền sở hữu và quyền khác đối với tài sản 1. Việc xác lập, thực hiện, thay đổi, chấm dứt quyền sở hữu và quyền khác đối với tài sản được xác định theo pháp luật của nước nơi có tài sản, trừ trường hợp quy định tại khoản 2 Điều này. 2. Quyền sở hữu và quyền khác đối với tài sản là động sản trên đường vận chuyển được xác định theo pháp luậ","Theo Điều 49 của Luật Trật tự, an toàn giao thông đường bộ: 1. **Về việc sắp xếp, chằng buộc hàng hóa và giới hạn tải trọng, khổ giới hạn:** Người lái xe phải kiểm tra việc sắp xếp hàng hóa bảo đảm an toàn; không được chở hàng hóa vượt quá khối lượng cho phép hoặc vượt quá khổ giới hạn của xe (điểm c khoản 1 Điều 49). Hàng hóa vận chuyển trên xe ph","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
18,0.2420591413974762,Phạm nhân nữ có con dưới 3 tuổi đang bị bệnh có được nghỉ lao động không?,"Tại Điều 32 Luật Thi hành án hình sự 2019 quy định chế độ lao động của phạm nhân như sau: 1. Phạm nhân được tổ chức lao động phù hợp với độ tuổi, sức khỏe và đáp ứng yêu cầu quản lý, giáo dục, hòa nhập cộng đồng. Phạm nhân lao động phải dưới sự giám sát, quản lý của trại giam, trại tạm giam. Thời giờ lao động của phạm nhân không quá 08 giờ trong 01","Điều 137. Bảo vệ thai sản 1. Người sử dụng lao động không được sử dụng người lao động làm việc ban đêm, làm thêm giờ và đi công tác xa trong trường hợp sau đây: a) Mang thai từ tháng thứ 07 hoặc từ tháng thứ 06 nếu làm việc ở vùng cao, vùng sâu, vùng xa, biên giới, hải đảo; b) Đang nuôi con dưới 12 tháng tuổi, trừ trường hợp được người lao động đồn","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
17,0.3816809058189392,"Tôi ký hợp đồng thuê nhà với người không có quyền sở hữu hợp pháp, hợp đồng này có giá trị pháp lý không?","Điều 123. Giao dịch dân sự vô hiệu do vi phạm điều cấm của luật, trái đạo đức xã hội Giao dịch dân sự có mục đích, nội dung vi phạm điều cấm của luật, trái đạo đức xã hội thì vô hiệu. Điều cấm của luật là những quy định của luật không cho phép chủ thể thực hiện những hành vi nhất định. Đạo đức xã hội là những chuẩn mực ứng xử chung trong đời sống x","Điều 223. Xác lập quyền sở hữu theo hợp đồng Người được giao tài sản thông qua hợp đồng mua bán, tặng cho, trao đổi, cho vay hoặc hợp đồng chuyển quyền sở hữu khác theo quy định của pháp luật thì có quyền sở hữu tài sản đó.","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
15,0.21686971187591553,"Công ty tôi có một số nhân viên nữ đang mang thai, và tôi không chắc liệu tôi có cần phải tham khảo ý kiến của họ khi quyết định sắp xếp lại công việc cho họ trong thời gian nghỉ thai sản hay không?","Điều 136. Trách nhiệm của người sử dụng lao động 1. Bảo đảm thực hiện bình đẳng giới và các biện pháp thúc đẩy bình đẳng giới trong tuyển dụng, bố trí, sắp xếp việc làm, đào tạo, thời giờ làm việc, thời giờ nghỉ ngơi, tiền lương và các chế độ khác. 2. Tham khảo ý kiến của lao động nữ hoặc đại diện của họ khi quyết định những vấn đề liên quan đến qu","Điều 137. Bảo vệ thai sản 1. Người sử dụng lao động không được sử dụng người lao động làm việc ban đêm, làm thêm giờ và đi công tác xa trong trường hợp sau đây: a) Mang thai từ tháng thứ 07 hoặc từ tháng thứ 06 nếu làm việc ở vùng cao, vùng sâu, vùng xa, biên giới, hải đảo; b) Đang nuôi con dưới 12 tháng tuổi, trừ trường hợp được người lao động đồn","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
13,0.18014001846313477,Người lao động có trách nhiệm nộp hồ sơ hưởng trợ cấp thai sản trong thời hạn bao nhiêu ngày kể từ ngày sinh con?,"Theo Khoản 1 Điều 96 của Dự thảo Luật Bảo hiểm xã hội, người lao động có trách nhiệm nộp hồ sơ quy định tại Điều 95 của Luật này trong thời hạn 45 ngày kể từ ngày sinh con.","Tôi là giáo viên, dự kiến sinh con ngày 12/8/2024, nhưng xin nghỉ từ ngày 18/4/2024. Xin hỏi, tôi nghỉ trước thời điểm sinh con thì có được hưởng chế độ thai sản không, có cần giấy chứng nhận sức khoẻ của bệnh viện không?Bảo hiểm xã hội Việt Nam trả lời vấn đề này như sau:Tại Khoản 2, Khoản 3 Điều 31Luật BHXH năm 2014quy định điều kiện hưởng chế độ","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
11,0.20369134843349457,"Gia đình tôi đã thỏa thuận với một nhà thầu rằng việc sửa chữa nhà sẽ được thực hiện sau khi có giấy phép xây dựng. Nếu giấy phép bị từ chối nhưng nhà thầu vẫn bắt đầu công việc, tôi có quyền yêu cầu họ ngừng lại không?","Điều 284. Thực hiện nghĩa vụ có điều kiện 1. Trường hợp các bên có thỏa thuận hoặc pháp luật có quy định về điều kiện thực hiện nghĩa vụ thì khi điều kiện phát sinh, bên có nghĩa vụ phải thực hiện. 2. Trường hợp điều kiện không xảy ra hoặc xảy ra do có sự tác động của một bên thì áp dụng quy định tại khoản 2 Điều 120 của Bộ luật này.","Dựa trên Khoản 1 Điều 77 Luật Xây dựng, nhà thầu khảo sát xây dựng có các quyền sau đây: a) Yêu cầu chủ đầu tư và các bên có liên quan cung cấp số liệu, thông tin liên quan theo quy định của hợp đồng để thực hiện khảo sát xây dựng. b) Từ chối thực hiện yêu cầu ngoài hợp đồng khảo sát xây dựng. c) Thuê nhà thầu phụ thực hiện khảo sát xây dựng theo q","Passage top-1 có thể gần nghĩa, cùng lĩnh vực pháp luật, hoặc positive passage bị truncate/nhiễu."
