positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short
23,0.5625,Người sử dụng lao động phải thông báo trước bao nhiêu ngày khi chấm dứt hợp đồng lao động với người lao động không xác định thời hạn?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 177. Nghĩa vụ của người sử dụng lao động đối với tổ chức đại diện người lao động tại cơ sở 1. Không được cản trở, gây khó khăn khi người lao động tiến hành các hoạt động hợp pháp nhằm thành lập, gia nhập và tham gia các hoạt động của tổ chức đại diện người lao động tại cơ sở. 2. Công nhận và tôn trọng các quyền của tổ chức đại diện người lao đ"
19,0.890625,Người lao động có quyền nghỉ không hưởng lương để chăm sóc người thân trong bao nhiêu ngày?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Tôi làm việc tại một công ty TNHH. Công ty tôi có 4 lao động ở TP. Hà Nội, thuộc vùng áp dụng Chỉ thị 16/CT-TTg nên không thể đến công ty làm việc trong các tháng 8, 9, 10/2021.Tôi chuẩn bị giấy tờ làm hồ sơ đề nghị giải quyết hỗ trợ cho người lao động trong khoảng thời gian trên gồm: Danh sách người lao động có xác nhận tham gia BHXH đến thời điểm"
13,7.6171875,Người sử dụng lao động phải trả tiền lương thử việc ít nhất bằng bao nhiêu phần trăm mức lương của công việc đó?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.",Điều 26. Tiền lương thử việc Tiền lương của người lao động trong thời gian thử việc do hai bên thỏa thuận nhưng ít nhất phải bằng 85% mức lương của công việc đó.
11,13.9287109375,Quy định về lựa chọn nhà thầu trong trường hợp chỉ định thầu,"Đơn vị chúng tôi là Trung tâm tư vấn và Kiểm định chất lượng công trình xây dựng nông nghiệp, là đơn vị sự nghiệp, tự chủ tài chính trực thuộc Sở Nông nghiệp và Phát triển nông thôn tỉnh Quảng Ninh. Vậy, chúng tôi có được chỉ định thầu các gói thầu tư vấn thiết kế, kiểm định chất lượng do Sở làm chủ đầu tư theo Luật Đấu thầu 43/2013/QH13 và Nghị đị","Từ khi Nghị định số 63/2014/NĐ-CP có hiệu lực thì các gói thầu xây lắp, mua sắm hàng hoá có giá <1 tỷ đồng, các gói thầu cung cấp dịch vụ tư vấn, phi tư vấn có giá <500 triệu đồng đều được các đơn vị đưa về hình thức chỉ định thầu rút gọn để thực hiện. Tôi nhận thấy, hình thức chỉ định thầu thông thường đang dần dần không được áp dụng. Phương thức "
10,1.625,Người sử dụng lao động có trách nhiệm gì khi người lao động yêu cầu trả lương ngừng việc không do lỗi của mình?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v",Điều 395. Nghĩa vụ của người sử dụng lao động trong việc nghỉ việc để làm việc khác. 1. Người sử dụng lao động có nghĩa vụ bảo đảm cho người lao động được nghỉ việc để làm việc khác theo thỏa thuận. 2. Người sử dụng lao động không được ép buộc người lao động nghỉ việc để làm việc khác nếu không có sự thỏa thuận.
9,21.73828125,Người lao động có được trả lương theo sản phẩm không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v","Người lao động được trả lương theo thời gian, sản phẩm hoặc khoán. Tiền lương được trả bằng tiền đồng Việt Nam, nếu được trả bằng ngoại tệ thì phải tuân thủ quy định của pháp luật về quản lý ngoại hối."
9,14.93145751953125,"UBND huyện quyết định danh sách, kinh phí hỗ trợ","Tôi làm việc tại một công ty TNHH. Công ty tôi có 4 lao động ở TP. Hà Nội, thuộc vùng áp dụng Chỉ thị 16/CT-TTg nên không thể đến công ty làm việc trong các tháng 8, 9, 10/2021.Tôi chuẩn bị giấy tờ làm hồ sơ đề nghị giải quyết hỗ trợ cho người lao động trong khoảng thời gian trên gồm: Danh sách người lao động có xác nhận tham gia BHXH đến thời điểm","Mẹ và hai con nhỏ của tôi là F1, đi cách ly tập trung hồi tháng 6/2021. Gia đình đã làm thủ tục đề nghị hỗ trợ và nộp cho UBND xã từ tháng 8/2021, nhưng đến nay vẫn chưa nhận được tiền hỗ trợ. Tôi đã hỏi xã và được trả lời, do mẹ và con của tôi đi cách ly tập trung, được 'mạnh thường quân' hỗ trợ ăn rồi nên không được nhận tiền, chỉ những người các"
9,4.9375,Người lao động có thể yêu cầu trả lương bằng tiền mặt không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v","Người lao động được trả lương theo thời gian, sản phẩm hoặc khoán. Tiền lương được trả bằng tiền đồng Việt Nam, nếu được trả bằng ngoại tệ thì phải tuân thủ quy định của pháp luật về quản lý ngoại hối."
8,12.400390625,Chia sẻ bài viết đăng trên Facebook của người khác nhằm mục đích nghiên cứu cho việc giảng dạy thì có xâm phạm quyền sở hữu trí tuệ?,"Theo Điều 25 Luật Sở hữu trí tuệ 2005 được sửa đổi bởi khoản 7 Điều 1 Luật Sở hữu trí tuệ sửa đổi 2022 quy định về các trường hợp sử dụng tác phẩm đã công bố không phải xin phép, không phải trả tiền nhuận bút, thù lao như sau:

Các trường hợp ngoại lệ không xâm phạm quyền tác giả
1. Các trường hợp sử dụng tác phẩm đã công bố không phải xin phép, kh",Điều 191. Quyền sử dụng của người không phải là chủ sở hữu Người không phải là chủ sở hữu được sử dụng tài sản theo thỏa thuận với chủ sở hữu hoặc theo quy định của pháp luật. Tiểu mục 3. QUYỀN ĐỊNH ĐOẠT
7,17.390625,"Tôi đang chuẩn bị ký một hợp đồng với một người quản lý của công ty, nhưng tôi lo lắng về việc hợp đồng có thể bị vô hiệu. Tôi cần đảm bảo điều gì trước khi ký?","Điều 86. Hợp đồng, giao dịch của công ty với những người có liên quan 1. Trừ trường hợp Điều lệ công ty có quy định khác, hợp đồng, giao dịch giữa công ty trách nhiệm hữu hạn một thành viên do tổ chức làm chủ sở hữu với những người sau đây phải được Hội đồng thành viên hoặc Chủ tịch công ty, Giám đốc hoặc Tổng giám đốc và Kiểm soát viên chấp thuận:","Điều 401. Hiệu lực của hợp đồng 1. Hợp đồng được giao kết hợp pháp có hiệu lực từ thời điểm giao kết, trừ trường hợp có thỏa thuận khác hoặc luật liên quan có quy định khác. 2. Từ thời điểm hợp đồng có hiệu lực, các bên phải thực hiện quyền và nghĩa vụ đối với nhau theo cam kết. Hợp đồng chỉ có thể bị sửa đổi hoặc hủy bỏ theo thỏa thuận của các bên"
